종목코드	6자리코드	종목명	시장구분	상장주식수
136660	136660	큐엠씨	KONEX	2360950
16600	016600	큐캐피탈	KOSDAQ	178247112
355390	355390	크라우드웍스	KOSDAQ	13603176
264900	264900	크라운제과	KOSPI	12523850
26490K	26490K	크라운제과우	KOSPI	773560
5740	005740	크라운해태홀딩스	KOSPI	14847347
5745	005745	크라운해태홀딩스우	KOSPI	600726
259960	259960	크래프톤	KOSPI	47403831
96240	096240	크레버스	KOSDAQ	10938180
40350	040350	크레오에스지	KOSDAQ	97602661
215570	215570	크로넥스	KONEX	5670474
110790	110790	크리스에프앤씨	KOSDAQ	23430960
900250	900250	크리스탈신소재	KOSDAQ	143260004
45520	045520	크린앤사이언스	KOSDAQ	6500000
214150	214150	클래시스	KOSDAQ GLOBAL	65505659
466100	466100	클로봇	KOSDAQ	24992139
237880	237880	클리오	KOSDAQ	18071353
139670	139670	키네마스터	KOSDAQ	14118810
20120	020120	키다리스튜디오	KOSPI	37063766
475430	475430	키스트론	KOSDAQ	17848110
487720	487720	키움제10호스팩	KOSDAQ	4230000
489480	489480	키움제11호스팩	KOSDAQ	6600000
39490	039490	키움증권	KOSPI	27112147
466690	466690	키움히어로제1호스팩	KOSDAQ	5095000
54780	054780	키이스트	KOSDAQ	19657793
256940	256940	킵스파마	KOSDAQ	20078147
336040	336040	타스컴	KONEX	5712810
219130	219130	타이거일렉	KOSDAQ	6314290
346010	346010	타이드	KONEX	4860062
318660	318660	타임기술	KONEX	2152101
476710	476710	타조이엔터테인먼트	KONEX	1000000
434190	434190	탈로스	KONEX	7369434
336680	336680	탑런토탈솔루션	KOSDAQ	39145558
360070	360070	탑머티리얼	KOSDAQ	8145043
180060	180060	탑선	KONEX	9347666
65130	065130	탑엔지니어링	KOSDAQ	16004000
134580	134580	탑코미디어	KOSDAQ	49294149
14580	014580	태경비케이	KOSPI	27583100
15890	015890	태경산업	KOSPI	29228750
6890	006890	태경케미컬	KOSPI	11600000
23160	023160	태광	KOSDAQ	26500000
3240	003240	태광산업	KOSPI	1113400
11280	011280	태림포장	KOSPI	70805940
323280	323280	태성	KOSDAQ	30537980
53620	053620	태양	KOSDAQ	8600000
52960	052960	태양3C	KONEX	4887078
4100	004100	태양금속	KOSPI	36700000
4105	004105	태양금속우	KOSPI	3300000
116100	116100	태양기계	KONEX	7439986
9410	009410	태영건설	KOSPI	297590078
9415	009415	태영건설우	KOSPI	649974
44490	044490	태웅	KOSDAQ	20007381
124560	124560	태웅로직스	KOSDAQ	38720811
1420	001420	태원물산	KOSPI	7600000
191420	191420	테고사이언스	KOSDAQ	8108834
950250	950250	테라뷰	KOSDAQ	35517731
73640	073640	테라사이언스	KOSDAQ	106378770
66700	066700	테라젠이텍스	KOSDAQ	37152376
95610	095610	테스	KOSDAQ	19360000
55490	055490	테이팩스	KOSPI	4769650
64520	064520	테크엘	KOSDAQ	22351062
89030	089030	테크윙	KOSDAQ	37053645
258050	258050	테크트랜스	KONEX	11145949
54450	054450	텔레칩스	KOSDAQ	15144233
78000	078000	텔코웨어	KOSPI	9240077
200230	200230	텔콘RF제약	KOSDAQ	68523533
214420	214420	토니모리	KOSPI	24054799
393210	393210	토마토시스템	KOSDAQ	15614544
475960	475960	토모큐브	KOSDAQ	13383274
215480	215480	토박스코리아	KOSDAQ	9180000
51360	051360	토비스	KOSDAQ	15047261
45340	045340	토탈소프트	KOSDAQ	8558040
108230	108230	톱텍	KOSDAQ	38023245
79970	079970	투비소프트	KOSDAQ	12829234
199800	199800	툴젠	KOSDAQ	8990229
417790	417790	트루엔	KOSDAQ	10468391
290090	290090	트윔	KOSDAQ	7440268
26150	026150	특수건설	KOSDAQ	17546331
464280	464280	티디에스팜	KOSDAQ	5530000
117730	117730	티로보틱스	KOSDAQ	22155710
33830	033830	티비씨	KOSDAQ	100000000
57680	057680	티사이언티픽	KOSDAQ	71248501
204610	204610	티쓰리	KOSDAQ	58691720
125020	125020	티씨머티리얼즈	KOSDAQ	35038550
64760	064760	티씨케이	KOSDAQ GLOBAL	11179416
246710	246710	티앤알바이오팹	KOSDAQ	47569048
340570	340570	티앤엘	KOSDAQ	8128000
43220	043220	티에스넥스젠	KOSDAQ	15922416
277880	277880	티에스아이	KOSDAQ	20206248
131290	131290	티에스이	KOSDAQ	11061429
19180	019180	티에이치엔	KOSPI	18000000
425420	425420	티에프이	KOSDAQ	11960710
484810	484810	티엑스알로보틱스	KOSDAQ	15450915
131100	131100	티엔엔터테인먼트	KOSDAQ	32246724
356860	356860	티엘비	KOSDAQ	9832630
413300	413300	티엘엔지니어링	KONEX	1351515
217590	217590	티엠씨	KOSPI	24094225
363280	363280	티와이홀딩스	KOSPI	50429268
36328K	36328K	티와이홀딩스우	KOSPI	1243014
321550	321550	티움바이오	KOSDAQ	29078354
91810	091810	티웨이항공	KOSPI	335984035
4870	004870	티웨이홀딩스	KOSPI	113163494
425040	425040	티이엠씨	KOSDAQ	21329082
241790	241790	티이엠씨씨엔에스	KOSDAQ	10002634
22220	022220	티케이지애강	KOSDAQ	51794579
104480	104480	티케이케미칼	KOSDAQ	90895434
81150	081150	티플랙스	KOSDAQ	24268402
130740	130740	티피씨글로벌	KOSDAQ	11276679
217880	217880	틸론	KONEX	10727290
84730	084730	팅크웨어	KOSDAQ	11109424
440110	440110	파두	KOSDAQ	49493293
34230	034230	파라다이스	KOSPI	92405559
288330	288330	파라택시스코리아	KOSDAQ	106078771
33540	033540	파라텍	KOSDAQ	37751063
388870	388870	파로스아이바이오	KOSDAQ	12945932
43200	043200	파루	KOSDAQ	41804315
214450	214450	파마리서치	KOSDAQ GLOBAL	10389648
217950	217950	파마리서치바이오	KONEX	4183240
5690	005690	파미셀	KOSPI	60016964
177830	177830	파버나인	KOSDAQ	13493951
37070	037070	파세코	KOSDAQ	20000000
150900	150900	파수	KOSDAQ	11703922
37030	037030	파워넷	KOSDAQ	25199918
47310	047310	파워로직스	KOSDAQ	36610755
368770	368770	파이버프로	KOSDAQ	32854225
170790	170790	파이오링크	KOSDAQ	6397335
49120	049120	파인디앤씨	KOSDAQ	53008319
38950	038950	파인디지털	KOSDAQ	10210765
387570	387570	파인메딕스	KOSDAQ	5625900
441270	441270	파인엠텍	KOSDAQ	40608587
106240	106240	파인테크닉스	KOSDAQ	21134625
131760	131760	파인텍	KOSDAQ	43431583
65690	065690	파커스	KOSDAQ	14049331
140860	140860	파크시스템스	KOSDAQ GLOBAL	6996477
91700	091700	파트론	KOSDAQ GLOBAL	55000000
202960	202960	판도라티비	KONEX	11915582
32800	032800	판타지오	KOSDAQ	45957058
318010	318010	팜스빌	KOSDAQ	7929338
36580	036580	팜스코	KOSPI	36727943
27710	027710	팜스토리	KOSDAQ	111416600
4720	004720	팜젠사이언스	KOSPI	21954502
266350	266350	팡스카이	KONEX	12629570
225590	225590	패션플랫폼	KOSDAQ	26636713
54300	054300	팬스타엔터프라이즈	KOSDAQ	115741890
68050	068050	팬엔터테인먼트	KOSDAQ	27694076
28670	028670	팬오션	KOSPI	534569512
222110	222110	팬젠	KOSDAQ	13494197
271830	271830	팸텍	KOSDAQ	29490202
10820	010820	퍼스텍	KOSPI	48771938
16800	016800	퍼시스	KOSPI	11500000
263750	263750	펄어비스	KOSDAQ GLOBAL	64247855
251970	251970	펌텍코리아	KOSDAQ	12400000
0015S0	0015S0	페스카로	KOSDAQ	9662730
1020	001020	페이퍼코리아	KOSPI	177983313
327610	327610	펨토바이오메드	KONEX	8536086
168360	168360	펨트론	KOSDAQ	21288284
87010	087010	펩트론	KOSDAQ	23317350
90080	090080	평화산업	KOSPI	54902259
10770	010770	평화홀딩스	KOSPI	14625466
64800	064800	포니링크	KOSDAQ	127807298
119500	119500	포메탈	KOSDAQ	11847232
389140	389140	포바이포	KOSDAQ	14269735
105760	105760	포스뱅크	KOSDAQ	10172387
22100	022100	포스코DX	KOSPI	152034729
58430	058430	포스코스틸리온	KOSPI	6000000
9520	009520	포스코엠텍	KOSDAQ GLOBAL	41642703
47050	047050	포스코인터내셔널	KOSPI	175922788
3670	003670	포스코퓨처엠	KOSPI	88946220
189690	189690	포시에스	KOSDAQ	27321969
318020	318020	포인트모바일	KOSDAQ	12301272
256630	256630	포인트엔지니어링	KOSDAQ	57997072
331380	331380	포커스에이아이	KOSDAQ	29534506
208710	208710	포톤	KOSDAQ	13180132
472850	472850	폰드그룹	KOSDAQ	57571652
39980	039980	폴라리스AI	KOSDAQ	72778776
41910	041910	폴라리스AI파마	KOSDAQ	13501607
234100	234100	폴라리스세원	KOSDAQ	70796203
41020	041020	폴라리스오피스	KOSDAQ	49725498
114630	114630	폴라리스우노	KOSDAQ	87947548
290720	290720	푸드나무	KOSDAQ	34366855
5670	005670	푸드웰	KOSDAQ	10000000
94940	094940	푸른기술	KOSDAQ	8361386
7330	007330	푸른저축은행	KOSDAQ	15082800
17810	017810	풀무원	KOSPI	38120542
93380	093380	풍강	KOSDAQ	9879313
23900	023900	풍국주정	KOSDAQ	12600000
103140	103140	풍산	KOSPI	28024278
5810	005810	풍산홀딩스	KOSPI	14417292
371950	371950	풍원정밀	KOSDAQ	22662548
370090	370090	퓨런티어	KOSDAQ	8556830
445180	445180	퓨릿	KOSDAQ	17189188
341170	341170	퓨쳐메디신	KONEX	10533205
220100	220100	퓨쳐켐	KOSDAQ	22427420
35200	035200	프럼파스트	KOSDAQ	9730590
334970	334970	프레스티지바이오로직스	KOSDAQ	77752637
950210	950210	프레스티지바이오파마	KOSPI	60096155
227100	227100	프로브잇	KOSDAQ	24134182
321260	321260	프로이천	KOSDAQ	28192084
296160	296160	프로젠	KONEX	15375079
53610	053610	프로텍	KOSDAQ	11000000
468530	468530	프로티나	KOSDAQ	10939480
303360	303360	프로티아	KOSDAQ	12877215
377220	377220	프롬바이오	KOSDAQ	28310000
335810	335810	프리시젼바이오	KOSDAQ	17957810
53160	053160	프리엠스	KOSDAQ	6000000
405000	405000	플라즈맵	KOSDAQ	3838444
41590	041590	플래스크	KOSDAQ	48972158
367000	367000	플래티어	KOSDAQ	8388207
75130	075130	플랜티넷	KOSDAQ	16622320
222670	222670	플럼라인생명과학	KONEX	4032932
9810	009810	플레이그램	KOSPI	30377500
237820	237820	플레이디	KOSDAQ	12827140
23770	023770	플레이위드	KOSDAQ	8946495
19570	019570	플루토스	KOSDAQ	67110042
300080	300080	플리토	KOSDAQ	16505451
33790	033790	피노	KOSDAQ	68037321
32580	032580	피델릭스	KOSDAQ	33132064
51380	051380	피씨디렉트	KOSDAQ	15340072
241820	241820	피씨엘	KOSDAQ	2782098
452450	452450	피아이이	KOSDAQ	35878500
237750	237750	피앤씨테크	KOSDAQ	6496600
