종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"252420","RISE 200선물인버스2X","322","-2","-0.62","323.95","325","327","313","1532498","489447882","5635000000","0","17500000","코스피 200 선물지수","4011.56","-9.11","-0.23"
"475720","RISE 200위클리커버드콜","13025","-15","-0.12","13017.05","12990","13120","12980","1895859","24737964518","797130000000","0","61200000","코스피 200 위클리 커버드콜 ATM 지수","1548.36","-3.67","-0.24"
"0122W0","RISE 26-11 회사채(AA-이상)액티브","50265","30","0.06","50244.43","50260","50265","50250","4206","211393945","397797210000","0","7914000","KAP 26-11 회사채(AA-이상) 총수익지수","111.17","0.07","0.06"
"465330","RISE 2차전지TOP10","12555","-390","-3.01","12562.91","12745","12857","12515","410910","5186987086","75016125000","0","5975000","iSelect 2차전지 TOP10 지수(PR)","2767.98","-88.70","-3.11"
"465350","RISE 2차전지TOP10인버스(합성)","19145","470","2.52","19262.50","18980","19235","18730","381075","7259484569","44990750000","0","2350000","iSelect 2차전지 TOP10 지수(PR)","2767.98","-88.70","-3.11"
"422420","RISE 2차전지액티브","8445","-220","-2.54","8449.06","8495","8600","8415","330024","2804102946","232744200000","0","27560000","iSelect 2차전지 지수 (시장가격지수)","5374.94","-174.59","-3.15"
"105780","RISE 5대그룹주","12625","-50","-0.39","12591.41","12675","12765","12580","38944","494521960","27775000000","0","2200000","MKF 5대그룹주","12494.60","-151.63","-1.20"
"469070","RISE AI&로봇","16825","-365","-2.12","16805.66","16895","16970","16610","956342","16062669337","536717500000","0","31900000","iSelect AI&로봇 지수(시장가격)","3795.43","-84.75","-2.18"
"0093A0","RISE AI반도체TOP10","26480","-550","-2.03","26412.47","26750","26935","26335","214276","5700235141","78116000000","0","2950000","FnGuide AI반도체TOP10 지수","5058.20","-198.78","-3.78"
"0101N0","RISE AI전력인프라","15780","0","0.00","15750.73","15695","15950","15535","314971","4966295382","107304000000","0","6800000","KRX-Akros AI 전력인프라 지수","9242.78","-35.43","-0.38"
"427120","RISE AI플랫폼","7865","50","0.64","7879.26","7900","7950","7835","23403","184905035","5977400000","0","760000","FnGuide AI 플랫폼 지수","1127.87","-5.44","-0.48"
"477080","RISE CD금리액티브(합성)","105875","15","0.01","105873.69","105870","105880","105870","6832","723321975","1283840250000","0","12126000","FnGuide CD금리투자 지수(총수익)","1451.67","0.66","0.05"
"290130","RISE ESG사회책임투자","32685","55","0.17","32612.70","32630","33145","32480","649087","21310990209","150351000000","0","4600000","KRX ESG 사회책임경영지수(S)","5240.24","-15.49","-0.29"
"326240","RISE IT플러스","31955","-250","-0.78","31942.23","32085","32355","31810","45151","1450899410","88195800000","0","2760000","FnGuide IT플러스 지수","4563.61","-55.16","-1.19"
"385560","RISE KIS국고채30년Enhanced","66500","730","1.11","66300.11","66155","66700","66135","58675","3900132077","571966500000","0","8601000","KIS 국고채30년Enhanced지수(시장가격)","5921.89","54.52","0.93"
"479520","RISE KOFR금리액티브(합성)","104915","40","0.04","104912.18","104910","104915","104910","4851","508932715","715835045000","0","6823000","KOFR 지수","1180.38","0.08","0.01"
"270800","RISE KQ고배당","16105","-80","-0.49","16153.50","16215","16215","16080","1666","26932014","8857750000","0","550000","FnGuide KQ고배당포커스 지수","8082.70","-56.09","-0.69"
"292050","RISE KRX300","38490","185","0.48","38419.70","38745","38930","38305","1596","61583945","13471500000","0","350000","KRX 300","3649.01","-9.78","-0.27"
"388280","RISE K엔터&여행레저","8865","-30","-0.34","8852.40","8895","8970","8780","44059","391131400","38828700000","0","4380000","FnGuide K엔터&여행레저 지수","827.92","-6.47","-0.78"
"442550","RISE TDF2030액티브","14180","-70","-0.49","14151.64","14175","14190","14125","21542","305285220","13471000000","0","950000","iSelect 전략적자산배분 TDF 2030 지수","1961.86","-7.25","-0.37"
"442560","RISE TDF2040액티브","15340","-90","-0.58","15325.82","15435","15435","15340","22918","352188045","24544000000","0","1600000","iSelect 전략적자산배분 TDF 2040 지수","2262.28","-14.37","-0.63"
"442570","RISE TDF2050액티브","16130","-170","-1.04","16088.46","16295","16295","16080","173932","2806798378","127427000000","0","7900000","iSelect 전략적자산배분 TDF 2050 지수","2423.86","-18.95","-0.78"
"234310","RISE V&S셀렉트밸류","26595","165","0.62","26533.62","26600","26805","26350","306","8125550","13297500000","0","500000","FnGuide 셀렉트 밸류 지수","5296.03","0.62","0.01"
"241390","RISE V&S셀렉트밸류채권혼합","15655","85","0.55","15529.99","15525","15730","15505","43652","682956199","28179000000","0","1800000","FnGuide 셀렉트벨류 채권혼합지수","2646.98","2.03","0.08"
"300640","RISE 게임테마","8125","-130","-1.57","8103.18","8280","8300","8095","33286","270998800","30468750000","0","3750000","WISE 게임 테마 지수 (시장가격지수)","3888.88","-100.34","-2.52"
